iter	Passed	Remaining
574	8702	6432
575	8716	6416
576	8727	6397
577	8742	6383
578	8755	6366
579	8768	6349
580	8781	6333
581	8793	6315
582	8805	6298
583	8818	6281
584	8843	6273
585	8857	6257
586	8874	6243
587	8891	6229
588	8905	6214
589	8920	6199
590	8931	6181
591	8944	6164
592	8958	6148
593	8968	6129
594	8984	6115
595	8993	6096
596	9009	6081
597	9017	6061
598	9038	6050
599	9048	6032
600	9066	6019
601	9100	6016
602	9128	6009
603	9145	5996
604	9183	5995
605	9204	5984
606	9230	5976
607	9240	5957
608	9256	5942
609	9272	5928
610	9299	5920
611	9320	5908
612	9332	5891
613	9351	5879
614	9371	5866
615	9394	5856
616	9411	5842
617	9434	5831
618	9447	5815
619	9466	5802
620	9484	5788
621	9505	5776
622	9520	5761
623	9542	5750
624	9564	5738
625	9578	5722
626	9597	5709
627	9624	5701
628	9640	5686
629	9657	5671
630	9676	5658
631	9696	5645
632	9712	5631
633	9732	5618
634	9754	5606
635	9773	5593
636	9789	5578
637	9805	5563
638	9824	5550
639	9845	5538
640	9861	5523
641	9878	5508
642	9901	5497
643	9913	5479
644	9931	5466
645	9952	5453
646	9972	5440
647	9991	5427
648	10006	5412
649	10035	5403
650	10059	5392
651	10075	5377
652	10096	5365
653	10113	5350
654	10131	5336
655	10144	5319
656	10156	5302
657	10178	5290
658	10198	5277
659	10217	5263
660	10242	5252
661	10259	5238
662	10282	5226
663	10301	5212
664	10317	5197
665	10336	5183
666	10357	5170
667	10378	5158
668	10392	5141
669	10412	5128
670	10428	5113
671	10448	5099
672	10473	5088
673	10487	5072
674	10507	5059
675	10523	5043
676	10534	5026
677	10552	5011
678	10571	4997
679	10596	4986
680	10624	4976
681	10639	4960
682	10665	4950
683	10676	4932
684	10701	4920
685	10719	4906
686	10735	4891
687	10753	4876
688	10767	4860
689	10792	4848
690	10817	4837
691	10833	4821
692	10878	4819
693	10899	4805
694	10912	4789
695	10934	4775
696	10945	4758
697	10962	4743
698	10974	4725
699	10992	4711
700	11015	4698
701	11037	4685
702	11065	4674
703	11079	4658
704	11096	4643
705	11113	4627
706	11132	4613
707	11152	4599
708	11175	4586
709	11195	4572
710	11216	4559
711	11235	4544
712	11248	4527
713	11271	4514
714	11289	4499
715	11313	4487
716	11330	4472
717	11347	4456
718	11364	4441
719	11388	4428
720	11406	4414
721	11434	4402
722	11447	4385
723	11473	4373
724	11487	4357
725	11506	4342
726	11522	4326
727	11538	4310
728	11553	4295
729	11575	4281
730	11600	4268
731	11614	4252
732	11643	4241
733	11694	4237
734	11720	4225
735	11750	4214
736	11786	4206
737	11813	4194
738	11859	4188
739	11872	4171
740	11891	4156
741	11923	4145
742	11932	4127
743	11952	4112
744	11969	4096
745	11987	4081
746	12003	4065
747	12019	4049
748	12044	4036
749	12061	4020
750	12084	4006
751	12104	3991
752	12131	3979
753	12147	3963
754	12183	3953
755	12205	3939
756	12223	3923
757	12246	3909
758	12273	3897
759	12292	3881
760	12309	3865
761	12330	3851
762	12358	3838
763	12372	3821
764	12387	3805
765	12398	3787
766	12417	3772
767	12442	3758
768	12457	3742
769	12474	3726
770	12504	3714
771	12554	3707
772	12577	3693
773	12595	3677
774	12609	3660
775	12626	3644
776	12655	3632
777	12673	3616
778	12687	3599
779	12708	3584
780	12725	3568
781	12749	3554
782	12771	3539
783	12806	3528
784	12816	3510
785	12834	3494
786	12857	3479
787	12873	3463
788	12883	3445
789	12905	3430
790	12930	3416
791	12944	3399
792	12970	3385
793	13002	3373
794	13022	3357
795	13037	3341
796	13062	3327
797	13074	3309
798	13092	3293
799	13112	3278
800	13129	3261
801	13143	3245
802	13162	3229
803	13187	3214
804	13209	3199
805	13230	3184
806	13257	3170
807	13283	3156
808	13293	3138
809	13311	3122
810	13334	3107
811	13359	3093
812	13379	3077
813	13399	3061
814	13420	3046
815	13444	3031
816	13463	3015
817	13482	2999
818	13500	2983
819	13519	2967
820	13539	2951
821	13561	2936
822	13575	2919
823	13616	2908
824	13648	2895
825	13675	2880
826	13686	2863
827	13708	2847
828	13736	2833
829	13757	2817
830	13777	2801
831	13796	2785
832	13822	2771
833	13848	2756
834	13871	2741
835	13895	2725
836	13911	2709
837	13938	2694
838	13951	2677
839	13968	2660
840	13983	2643
841	14010	2629
842	14032	2613
843	14081	2602
844	14119	2589
845	14174	2580
846	14200	2565
847	14241	2552
848	14273	2538
849	14285	2521
850	14308	2505
851	14328	2488
852	14350	2473
853	14371	2456
854	14391	2440
855	14407	2423
856	14425	2407
857	14445	2390
858	14461	2373
859	14474	2356
860	14494	2340
861	14514	2323
862	14534	2307
863	14552	2290
864	14575	2274
865	14591	2257
866	14616	2242
867	14648	2227
868	14697	2215
869	14753	2204
870	14769	2187
871	14784	2170
872	14803	2153
873	14826	2137
874	14843	2120
875	14861	2103
876	14877	2086
877	14895	2069
878	14913	2052
879	14927	2035
880	14941	2018
881	14956	2000
882	14974	1984
883	14992	1967
884	15006	1949
885	15024	1933
886	15045	1916
887	15062	1899
888	15079	1882
889	15097	1866
890	15112	1848
891	15129	1831
892	15145	1814
893	15170	1798
894	15186	1781
895	15207	1765
896	15227	1748
897	15238	1730
898	15259	1714
899	15274	1697
900	15294	1680
901	15310	1663
902	15326	1646
903	15342	1629
904	15367	1613
905	15399	1597
906	15447	1583
907	15474	1567
908	15501	1551
909	15520	1534
910	15543	1518
911	15569	1502
912	15593	1485
913	15617	1469
914	15642	1453
915	15660	1436
916	15685	1419
917	15705	1402
918	15725	1386
919	15744	1369
920	15762	1352
921	15794	1336
922	15830	1320
923	15856	1304
924	15876	1287
925	15915	1271
926	15948	1255
927	15970	1239
928	15989	1221
929	16016	1205
930	16035	1188
931	16049	1171
932	16069	1153
933	16093	1137
934	16114	1120
935	16134	1103
936	16157	1086
937	16176	1069
938	16191	1051
939	16215	1035
940	16239	1018
941	16265	1001
942	16295	984
943	16319	968
944	16338	950
945	16399	936
946	16498	923
947	16514	905
948	16532	888
949	16548	870
950	16561	853
951	16575	835
952	16591	818
953	16609	800
954	16625	783
955	16638	765
956	16658	748
957	16674	731
958	16690	713
959	16707	696
960	16722	678
961	16739	661
962	16751	643
963	16763	626
964	16776	608
965	16794	591
966	16805	573
967	16819	556
968	16838	538
969	16876	521
970	16891	504
971	16913	487
972	16928	469
973	16943	452
974	16958	434
975	16974	417
976	16985	399
977	17002	382
978	17013	364
979	17026	347
980	17047	330
981	17067	312
982	17082	295
983	17094	277
984	17108	260
985	17120	243
986	17133	225
987	17147	208
988	17160	190
989	17173	173
990	17187	156
991	17203	138
992	17226	121
993	17237	104
994	17249	86
995	17264	69
996	17275	51
997	17288	34
998	17306	17
999	17328	0
